epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,164.519,2.17484,1.34155,1.67582,0.67161,0.66339,0.66687,0.24565,2.10404,1.24753,1.74082,0.0011486,0.0011486,0.0011486
88,166.254,2.16834,1.28413,1.66128,0.67102,0.64764,0.66419,0.25581,2.10236,1.22464,1.74807,0.0011387,0.0011387,0.0011387
89,168.117,2.19205,1.29823,1.72288,0.66357,0.61877,0.63226,0.24632,2.13214,1.2216,1.76306,0.0011288,0.0011288,0.0011288
90,169.889,2.31471,1.27966,1.67005,0.65373,0.6293,0.6203,0.2424,2.14995,1.21065,1.76389,0.0011189,0.0011189,0.0011189
91,171.636,2.24751,1.26636,1.71323,0.67476,0.66076,0.63705,0.24814,2.15811,1.19276,1.75548,0.001109,0.001109,0.001109
92,173.538,2.32364,1.25559,1.66464,0.68713,0.66995,0.64932,0.24829,2.14575,1.20114,1.75306,0.0010991,0.0010991,0.0010991
93,175.357,2.2156,1.32375,1.69249,0.68758,0.67913,0.65676,0.2502,2.14169,1.21314,1.75813,0.0010892,0.0010892,0.0010892
94,177.224,2.19483,1.28491,1.66733,0.7169,0.68963,0.68189,0.25647,2.12874,1.19955,1.74452,0.0010793,0.0010793,0.0010793
95,179.004,2.26101,1.25791,1.66595,0.68709,0.66132,0.64439,0.25157,2.15345,1.19079,1.75833,0.0010694,0.0010694,0.0010694
96,180.698,2.19399,1.33214,1.64411,0.61524,0.60958,0.57631,0.22373,2.22938,1.21754,1.80953,0.0010595,0.0010595,0.0010595
97,182.484,2.30344,1.2341,1.66835,0.58752,0.59318,0.55534,0.21627,2.21976,1.23906,1.80826,0.0010496,0.0010496,0.0010496
98,184.354,2.27675,1.23774,1.67688,0.64814,0.66115,0.64287,0.25408,2.11735,1.19961,1.73981,0.0010397,0.0010397,0.0010397
99,186.775,2.29777,1.27657,1.71292,0.70367,0.68898,0.69728,0.26968,2.0636,1.20741,1.70001,0.0010298,0.0010298,0.0010298
100,188.791,2.24821,1.3367,1.70496,0.64916,0.64042,0.60306,0.21565,2.1093,1.34199,1.72135,0.0010199,0.0010199,0.0010199
101,190.562,2.27438,1.52672,1.82079,0.6605,0.6536,0.62855,0.22595,2.08824,1.3064,1.697,0.00101,0.00101,0.00101
102,192.193,2.18719,1.29539,1.61495,0.67396,0.67651,0.64921,0.24172,2.07233,1.25965,1.67982,0.0010001,0.0010001,0.0010001
103,194.075,2.27184,1.26828,1.60986,0.66193,0.64501,0.66046,0.25999,2.07781,1.22291,1.68002,0.0009902,0.0009902,0.0009902
104,195.914,2.21602,1.26997,1.6808,0.65337,0.64439,0.65185,0.25702,2.08958,1.21568,1.68461,0.0009803,0.0009803,0.0009803
105,197.773,2.26953,1.32355,1.71795,0.66526,0.65945,0.66846,0.25666,2.09294,1.21234,1.69321,0.0009704,0.0009704,0.0009704
106,199.51,2.23069,1.24463,1.62939,0.69388,0.68713,0.70381,0.27386,2.07593,1.19736,1.68818,0.0009605,0.0009605,0.0009605
107,201.264,2.17663,1.23355,1.55377,0.72114,0.71063,0.72662,0.28422,2.0517,1.18521,1.67285,0.0009506,0.0009506,0.0009506
108,203.016,2.19917,1.26219,1.65504,0.71278,0.70801,0.7231,0.28607,2.05242,1.18263,1.66783,0.0009407,0.0009407,0.0009407
109,204.752,2.19316,1.29961,1.68772,0.70847,0.70643,0.69725,0.26956,2.07296,1.19007,1.69197,0.0009308,0.0009308,0.0009308
110,206.394,2.1068,1.23612,1.59925,0.71697,0.69226,0.67181,0.25611,2.09328,1.20138,1.71759,0.0009209,0.0009209,0.0009209
111,208.261,2.43702,1.28474,1.61425,0.71093,0.68176,0.65752,0.24814,2.10189,1.21526,1.72754,0.000911,0.000911,0.000911
112,210.263,2.21941,1.2737,1.68917,0.74293,0.68963,0.66119,0.24453,2.105,1.21069,1.7225,0.0009011,0.0009011,0.0009011
113,212.716,2.2466,1.46795,1.8342,0.731,0.69291,0.67209,0.25641,2.09052,1.19485,1.70189,0.0008912,0.0008912,0.0008912
114,214.548,2.33937,1.26363,1.65163,0.72329,0.69029,0.69908,0.27512,2.07054,1.17991,1.67804,0.0008813,0.0008813,0.0008813
115,216.327,2.22459,1.26898,1.65766,0.68928,0.70341,0.70992,0.2905,2.03292,1.20611,1.64221,0.0008714,0.0008714,0.0008714
116,218.057,2.10685,1.20459,1.54042,0.68211,0.69553,0.70324,0.28253,2.01987,1.22598,1.63423,0.0008615,0.0008615,0.0008615
117,219.793,2.15742,1.34921,1.63932,0.6888,0.70407,0.7092,0.28858,2.01123,1.22405,1.62615,0.0008516,0.0008516,0.0008516
118,221.468,2.10045,1.28021,1.59373,0.7287,0.71325,0.73216,0.28951,2.02402,1.19455,1.63123,0.0008417,0.0008417,0.0008417
119,223.354,2.26581,1.26264,1.65546,0.72343,0.71194,0.72522,0.28533,2.03172,1.18556,1.6409,0.0008318,0.0008318,0.0008318
120,225.09,2.23069,1.28748,1.67365,0.70747,0.70013,0.69972,0.27857,2.04378,1.18654,1.65082,0.0008219,0.0008219,0.0008219
121,226.808,2.29396,1.44308,1.59917,0.70266,0.69291,0.69446,0.28057,2.03598,1.19254,1.64669,0.000812,0.000812,0.000812
122,228.598,2.10298,1.35046,1.6071,0.71514,0.70866,0.71074,0.28871,2.03498,1.17843,1.64039,0.0008021,0.0008021,0.0008021
123,230.336,2.17792,1.19668,1.58635,0.71951,0.71654,0.71685,0.28993,2.02973,1.1678,1.63818,0.0007922,0.0007922,0.0007922
124,232.034,2.01554,1.31101,1.57669,0.73724,0.71391,0.70816,0.27921,2.04706,1.16488,1.66059,0.0007823,0.0007823,0.0007823
125,233.705,2.12859,1.4199,1.63985,0.72529,0.70276,0.70559,0.28405,2.04505,1.15819,1.66452,0.0007724,0.0007724,0.0007724
126,235.689,2.12538,1.31945,1.65966,0.73188,0.70801,0.71399,0.28778,2.04896,1.15585,1.66514,0.0007625,0.0007625,0.0007625
127,238.238,2.12253,1.39352,1.6252,0.74283,0.70997,0.7266,0.29622,2.03108,1.15626,1.65731,0.0007526,0.0007526,0.0007526
