                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 2.0849,                 1.0921,                 1.6306,                0.81349,                0.74125,                0.77941,                0.32078,                 2.0245,                 1.0353,                 1.7009,               0.000218,               0.000218,               0.000218
                    137,                 2.1282,                  1.071,                 1.5855,                0.79697,                0.72047,                0.75862,                0.31209,                 2.0447,                 1.0338,                 1.7131,              0.0002048,              0.0002048,              0.0002048
                    138,                 2.0924,                 1.0486,                 1.5348,                0.78812,                0.71513,                0.74931,                0.30659,                 2.0507,                 1.0331,                 1.7183,              0.0001916,              0.0001916,              0.0001916
                    139,                 2.0601,                 1.0643,                 1.5877,                0.79642,                0.71618,                0.75305,                0.30914,                 2.0422,                 1.0345,                 1.7147,              0.0001784,              0.0001784,              0.0001784
                    140,                 2.1017,                 1.0506,                 1.5523,                0.79996,                0.73031,                0.75942,                0.31144,                 2.0314,                 1.0333,                 1.7095,              0.0001652,              0.0001652,              0.0001652
                    141,                 1.9972,                 1.1801,                 1.4826,                0.80978,                0.73491,                0.76813,                0.31416,                 2.0156,                 1.0399,                 1.6993,               0.000152,               0.000152,               0.000152
                    142,                 1.9675,                 1.1555,                 1.5492,                0.82891,                0.75197,                0.78466,                0.31463,                 2.0063,                 1.0485,                  1.692,              0.0001388,              0.0001388,              0.0001388
                    143,                 1.9634,                 1.1203,                 1.5499,                0.82732,                0.75135,                0.79015,                0.31729,                 1.9943,                 1.0551,                 1.6841,              0.0001256,              0.0001256,              0.0001256
                    144,                 1.9304,                 1.0937,                 1.5258,                 0.8158,                0.74344,                0.78707,                0.31902,                 1.9801,                 1.0637,                 1.6757,              0.0001124,              0.0001124,              0.0001124
                    145,                 1.9383,                 1.0629,                 1.4857,                0.80065,                0.73265,                0.78298,                0.31941,                 1.9725,                 1.0726,                 1.6704,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                 1.9536,                 1.1121,                  1.532,                0.77889,                 0.7258,                0.77459,                0.31828,                 1.9713,                 1.0795,                 1.6667,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                 1.9322,                 1.0734,                 1.5057,                0.77573,                0.73228,                0.77264,                0.31844,                 1.9736,                 1.0849,                 1.6661,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                 1.9628,                 1.1025,                  1.538,                0.76725,                0.72894,                0.76901,                0.31619,                 1.9782,                   1.09,                 1.6658,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                 1.9478,                 1.0788,                 1.5125,                0.76575,                 0.7231,                0.76784,                0.31532,                  1.982,                 1.0939,                  1.665,               4.64e-05,               4.64e-05,               4.64e-05
